gvkey,datadate,fyear,tic,conm,curcd,revt,sale,xad,exchg
007866,12/31/2017,2017,NYT,NEW YORK TIMES CO  -CL A,USD,1675.6390,1675.6390,118.6000,11
007866,12/31/2018,2018,NYT,NEW YORK TIMES CO  -CL A,USD,1748.5980,1748.5980,156.3000,11
007866,12/31/2019,2019,NYT,NEW YORK TIMES CO  -CL A,USD,1812.1840,1812.1840,167.9000,11
008007,12/31/2010,2010,WFC,WELLS FARGO & CO,USD,93249.0000,,,11
008007,12/31/2010,2010,WFC,WELLS FARGO & CO,USD,93249.0000,93249.0000,630.0000,11
008007,12/31/2011,2011,WFC,WELLS FARGO & CO,USD,87444.0000,,,11
008007,12/31/2011,2011,WFC,WELLS FARGO & CO,USD,87444.0000,87444.0000,607.0000,11
008007,12/31/2012,2012,WFC,WELLS FARGO & CO,USD,91247.0000,,,11
008007,12/31/2012,2012,WFC,WELLS FARGO & CO,USD,91247.0000,91247.0000,578.0000,11
008007,12/31/2013,2013,WFC,WELLS FARGO & CO,USD,88069.0000,,,11
008007,12/31/2013,2013,WFC,WELLS FARGO & CO,USD,88069.0000,88069.0000,610.0000,11
008007,12/31/2014,2014,WFC,WELLS FARGO & CO,USD,88372.0000,,,11
008007,12/31/2014,2014,WFC,WELLS FARGO & CO,USD,88372.0000,88372.0000,653.0000,11
008007,12/31/2015,2015,WFC,WELLS FARGO & CO,USD,90033.0000,,,11
008007,12/31/2015,2015,WFC,WELLS FARGO & CO,USD,90033.0000,90033.0000,606.0000,11
008007,12/31/2016,2016,WFC,WELLS FARGO & CO,USD,93512.0000,,,11
008007,12/31/2016,2016,WFC,WELLS FARGO & CO,USD,93512.0000,93512.0000,595.0000,11
008007,12/31/2017,2017,WFC,WELLS FARGO & CO,USD,96776.0000,,,11
008007,12/31/2017,2017,WFC,WELLS FARGO & CO,USD,96776.0000,96776.0000,614.0000,11
008007,12/31/2018,2018,WFC,WELLS FARGO & CO,USD,100858.0000,,,11
008007,12/31/2018,2018,WFC,WELLS FARGO & CO,USD,100858.0000,100858.0000,857.0000,11
008007,12/31/2019,2019,WFC,WELLS FARGO & CO,USD,102453.0000,,,11
008007,12/31/2019,2019,WFC,WELLS FARGO & CO,USD,102453.0000,102453.0000,1076.0000,11
